SYNTYMÄVUOSI;SUKUPUOLI;ETUNIMI;KPL
1969;1;Mika;2382
1970;1;Mika;2262
1971;1;Mika;2137
1972;1;Mika;1743
1973;1;Mika;1667
1974;1;Jani;1816
1975;1;Jani;1763
1976;1;Jani;1619
1977;1;Mikko;1692
1978;1;Mikko;1643
1979;1;Mikko;1743
1980;1;Mikko;1565
1981;1;Mikko;1594
1982;1;Mikko;1515
1983;1;Mikko;1391
1984;1;Antti;1261
1985;1;Mikko;1112
1986;1;Antti;1018
1987;1;Ville;1020
1988;1;Ville;1061
1989;1;Ville;1020
1990;1;Ville;1015
1991;1;Ville;1038
1992;1;Ville;994
1993;1;Ville;979
1994;1;Ville;895
1995;1;Ville;818
1996;1;Aleksi;703
1997;1;Niko;643
1998;1;Aleksi;625
1999;1;Aleksi;782
2000;1;Aleksi;665
2001;1;Eetu;568
2002;1;Eetu;553
2003;1;Niko;569
2004;1;Eetu;522
2005;1;Veeti;499
2006;1;Eetu;499
2007;1;Elias;490
2008;1;Onni;525
2009;1;Veeti;470
2010;1;Elias;566
2011;1;Elias;575
2012;1;Onni;510
2013;1;Elias;472
2014;1;Elias;502
2015;1;Leo;464
2016;1;Elias;444
2017;1;Leo;458
2018;1;Elias;442
2019;1;Leo;120
1969;2;Sari;2017
1970;2;Sari;1712
1971;2;Sari;1407
1972;2;Minna;1093
1973;2;Katja;1171
1974;2;Katja;1222
1975;2;Katja;1169
1976;2;Sanna;1148
1977;2;Sanna;1143
1978;2;Sanna;1053
1979;2;Heidi;1334
1980;2;Heidi;1072
1981;2;Heidi;1037
1982;2;Heidi;990
1983;2;Heidi;1014
1984;2;Heidi;893
1985;2;Laura;944
1986;2;Laura;850
1987;2;Anna;859
1988;2;Laura;900
1989;2;Laura;893
1990;2;Laura;876
1991;2;Laura;1028
1992;2;Laura;1029
1993;2;Laura;895
1994;2;Laura;939
1995;2;Laura;780
1996;2;Laura;561
1997;2;Laura;615
1998;2;Laura;545
1999;2;Jenna;551
2000;2;Laura;447
2001;2;Emma;436
2002;2;Sara;422
2003;2;Emma;524
2004;2;Emma;671
2005;2;Emma;528
2006;2;Emma;497
2007;2;Ella;493
2008;2;Emma;544
2009;2;Emma;513
2010;2;Emma;513
2011;2;Sofia;523
2012;2;Ella;503
2013;2;Emma;500
2014;2;Sofia;461
2015;2;Sofia;418
2016;2;Sofia;426
2017;2;Sofia;365
2018;2;Eevi;307
2019;2;Eevi;102
