Sukunimi;Nimenhaltijoita yhteensä
Korhonen;22270
Virtanen;21669
Mäkinen;19917
Nieminen;19726
Mäkelä;18843
Hämäläinen;18099
Laine;17756
Heikkinen;17255
Koskinen;16936
Järvinen;15935
Lehtonen;15692
Lehtinen;14811
Saarinen;14584
Salminen;14355
Heinonen;14182
Heikkilä;14078
Niemi;14072
Kinnunen;13859
Salonen;13643
Turunen;13130
Salo;12849
Laitinen;12550
Tuominen;12296
Rantanen;12250
Karjalainen;12240
Jokinen;11924
Mattila;11836
Savolainen;11002
Lahtinen;10918
Ahonen;10818
Ojala;10612
Leppänen;10558
Kallio;9935
Väisänen;9890
Hiltunen;9874
Leinonen;9870
Miettinen;9814
Pitkänen;9754
Aaltonen;9669
Manninen;9662
Koivisto;9512
Hakala;9456
Anttila;9443
Laaksonen;9040
Hirvonen;8953
Räsänen;8932
Lehto;8901
Laakso;8771
Toivonen;8696
Rantala;8630
Mustonen;8581
Aalto;8528
Nurmi;8280
Niemelä;8274
Peltonen;8259
Moilanen;8250
Seppälä;8119
Pulkkinen;8080
Hänninen;8053
Saari;7898
Lappalainen;7875
Kettunen;7869
Partanen;7833
Kemppainen;7668
Kauppinen;7646
Koskela;7643
Seppänen;7583
Ahola;7536
Salmi;7522
Lahti;7519
Huttunen;7318
Ikonen;7259
Aho;7230
Suominen;7220
Kärkkäinen;7153
Pesonen;7104
Halonen;7091
Nyman;6984
Koponen;6920
Mikkonen;6906
Peltola;6903
Johansson;6890
Niskanen;6819
Lindholm;6810
Oksanen;6791
Vainio;6783
Heiskanen;6719
Mikkola;6655
Koski;6564
Honkanen;6560
Immonen;6527
Nurminen;6448
Vuorinen;6424
Harju;6386
Kokkonen;6316
Määttä;6311
Rissanen;6233
Karppinen;6228
Mäki;6150
Laukkanen;6025
Rajala;6019
Heino;6003
Juntunen;5991
Jääskeläinen;5909
Kangas;5893
Rautiainen;5884
Parviainen;5878
Keränen;5857
Hartikainen;5821
Paananen;5765
Leino;5692
Karlsson;5669
Mäenpää;5648
Lindström;5598
Ruotsalainen;5576
Martikainen;5554
Hyvärinen;5489
Hakkarainen;5465
Uusitalo;5464
Kokko;5447
Laurila;5426
Tikkanen;5379
Toivanen;5366
Viitanen;5326
Nevalainen;5318
Salmela;5213
Makkonen;5162
Nykänen;5149
Leskinen;5141
Holopainen;5066
Kuusisto;5050
Häkkinen;5048
Hietala;4998
Tamminen;4962
Andersson;4953
Ranta;4947
Korpela;4933
Eriksson;4930
Härkönen;4923
Kukkonen;4879
Hyvönen;4840
Karhu;4828
Jaakkola;4810
Karvonen;4806
Pasanen;4780
Tiainen;4766
Jokela;4748
Väänänen;4676
Saarela;4654
Kosonen;4634
Sillanpää;4592
Rautio;4561
Malinen;4552
Kujala;4530
Virta;4519
Lindroos;4477
Autio;4463
Timonen;4460
Kivelä;4431
Lindqvist;4404
Jussila;4341
Hokkanen;4340
Kolehmainen;4335
Valtonen;4335
Lampinen;4317
Räisänen;4313
Rinne;4306
Tolonen;4269
Nissinen;4239
Huhtala;4231
Nousiainen;4189
Eskelinen;4147
Vartiainen;4112
Koivula;4102
Laakkonen;4082
Asikainen;4066
Lindberg;4042
Lepistö;4040
Koistinen;4010
Kuusela;3989
Luoma;3930
Pelkonen;3912
Liimatainen;3904
Kyllönen;3895
Kulmala;3875
Hautala;3864
Tolvanen;3836
Tuovinen;3822
Pietilä;3798
Helenius;3797
Penttinen;3774
Koivunen;3770
Viljanen;3765
Huotari;3753
Voutilainen;3740
Hyttinen;3728
Riikonen;3722
Pennanen;3721
Luukkonen;3714
Hietanen;3703
Marttila;3702
Suhonen;3702
Pakarinen;3674
Repo;3671
Takala;3653
Järvenpää;3646
Nuutinen;3646
Kumpulainen;3639
Haavisto;3636
Karttunen;3631
Ketola;3628
Lindgren;3597
Ronkainen;3591
Eskola;3565
Eronen;3561
Eklund;3550
Haapala;3547
Lehtimäki;3528
Myllymäki;3528
Auvinen;3495
Penttilä;3491
Kainulainen;3486
Huovinen;3482
Saastamoinen;3474
Paavola;3441
Vuori;3435
Liukkonen;3426
Juvonen;3401
Helin;3392
Komulainen;3374
Hautamäki;3344
Viitala;3337
Keskinen;3325
Kivimäki;3303
Markkanen;3292
Taskinen;3280
Ollila;3268
Ollikainen;3260
Tuomi;3258
Silvennoinen;3257
Rintala;3250
Lähteenmäki;3249
Suomalainen;3248
Välimäki;3218
Perälä;3200
Sipilä;3199
Kähkönen;3196
Gustafsson;3173
Halme;3168
Lehtola;3159
Kuosmanen;3155
Blomqvist;3131
Nylund;3124
Kortelainen;3122
Hannula;3113
Turpeinen;3103
Kantola;3098
Tanskanen;3088
Matilainen;3071
Lindfors;3062
Hytönen;3058
Meriläinen;3058
Matikainen;3015
Jalonen;2984
Helminen;2950
Jansson;2942
Holm;2941
Kivistö;2933
Ylitalo;2920
Alatalo;2915
Kanerva;2907
Rytkönen;2907
Tervo;2901
Varis;2892
Puhakka;2882
Soininen;2880
Henriksson;2869
Väyrynen;2865
Kiviniemi;2857
Erkkilä;2847
Kurki;2834
Taipale;2824
Pajunen;2820
Tarvainen;2816
Rauhala;2814
Pääkkönen;2812
Karvinen;2809
Ojanen;2794
Nyberg;2788
Berg;2776
Laiho;2768
Puustinen;2767
Kilpeläinen;2763
Mäntylä;2756
Oinonen;2738
Kankaanpää;2725
Kuisma;2718
Peltoniemi;2716
Mattsson;2715
Lehikoinen;2710
Lassila;2708
Piirainen;2693
Tikka;2692
Backman;2681
Räty;2673
Haapanen;2661
Pirinen;2658
Kivinen;2645
Jaatinen;2639
Niiranen;2630
Pohjola;2611
Lipponen;2608
Parkkinen;2607
Korpi;2599
Kärki;2599
Jauhiainen;2594
Haverinen;2589
Moisio;2564
Kauppila;2561
Kaikkonen;2550
Valkonen;2548
Keinänen;2547
Jäntti;2539
Venäläinen;2536
Vesterinen;2534
Ylönen;2526
Ruuskanen;2514
Haataja;2512
Raatikainen;2512
Rossi;2480
Sainio;2480
Mononen;2476
Holmberg;2473
Anttonen;2456
Järvelä;2453
Syrjälä;2441
Nikula;2433
Kovanen;2422
Holmström;2411
Tirkkonen;2399
Pekkala;2386
Lilja;2379
Ahokas;2377
Pehkonen;2369
Huuskonen;2355
Palomäki;2355
Karhunen;2344
Männistö;2337
Vuorela;2335
Latvala;2333
Sallinen;2328
Kuronen;2324
Valkama;2317
Seppä;2309
Elo;2306
Kämäräinen;2305
Oikarinen;2302
Tiihonen;2302
Konttinen;2300
Muhonen;2295
Sirén;2293
Linna;2291
Alanko;2285
Sjöblom;2269
Alanen;2262
Salomaa;2253
Reinikainen;2244
Riihimäki;2244
Ryynänen;2239
Soini;2235
Simola;2232
Sirviö;2230
Eloranta;2216
Pekkarinen;2216
Rönkkö;2211
Keskitalo;2208
Kiuru;2207
Lammi;2205
Marttinen;2194
Forsman;2193
Kari;2189
Airaksinen;2185
Nevala;2173
Haapaniemi;2169
Järvi;2149
Pöllänen;2148
Holappa;2142
Aro;2138
Ylinen;2132
Simonen;2130
Uotila;2130
Antikainen;2125
Grönroos;2124
Ihalainen;2117
Sutinen;2113
Puranen;2111
Lankinen;2104
Sihvonen;2099
Tähtinen;2095
Snellman;2092
Kauppi;2085
Kalliokoski;2080
Joensuu;2070
Aarnio;2065
Toivola;2061
Paavilainen;2058
Lehti;2049
Kauhanen;2048
Virolainen;2038
Sundström;2032
Kiiskinen;2027
Sivonen;2015
Sormunen;2002
Luoto;2000
Törmänen;1999
Friman;1992
Hassinen;1991
Luostarinen;1991
Eerola;1990
Koivuniemi;1989
Westerlund;1986
Suvanto;1974
Ruohonen;1970
Nordström;1948
Kotilainen;1939
Tuomisto;1934
Nenonen;1929
Ruuska;1918
Sinkkonen;1907
Kiiski;1904
Tervonen;1899
Koljonen;1896
Nygård;1894
Sorsa;1893
Laamanen;1887
Pietikäinen;1883
Sinisalo;1883
Rajamäki;1882
Piiroinen;1878
Antila;1875
Pikkarainen;1874
Björklund;1871
Suomela;1860
Lämsä;1852
Ukkonen;1852
Tenhunen;1851
Ekman;1841
Kuokkanen;1839
Forsström;1838
Siitonen;1837
Nyström;1833
Huusko;1827
Laitila;1827
Kekkonen;1825
Paajanen;1824
Vuorio;1824
Suomi;1820
Lind;1819
Neuvonen;1810
Leppälä;1808
Alho;1805
Bergman;1799
Jylhä;1793
Vepsäläinen;1793
Junttila;1792
Mäkitalo;1791
Lyytikäinen;1790
Kujanpää;1789
Saarelainen;1789
Vanhanen;1785
Arola;1780
Pöyhönen;1774
Tahvanainen;1774
Suutari;1773
Vainionpää;1773
Sandberg;1769
Lempinen;1767
Hyytiäinen;1765
Jantunen;1764
Wikström;1763
Kontio;1757
Hakanen;1752
Nyholm;1749
Pakkanen;1749
Helander;1747
Kosunen;1747
Närhi;1747
Honkala;1744
Tuomainen;1741
Hynninen;1740
Tapio;1739
Inkinen;1734
Hurme;1720
Kääriäinen;1718
Minkkinen;1717
Ekholm;1708
Saukkonen;1703
Kaartinen;1701
Palonen;1697
Tauriainen;1697
Rintamäki;1693
Nummela;1681
Piironen;1679
Pirhonen;1678
Pyykkö;1668
Remes;1668
Kautto;1664
Lukkarinen;1664
Puttonen;1664
Söderlund;1662
Nurmela;1653
Itkonen;1649
Määttänen;1647
Halttunen;1643
Romppanen;1642
Grönlund;1641
Tukiainen;1639
Selin;1634
Harjula;1631
Koivu;1630
Tiilikainen;1623
Tammi;1618
Vanhala;1618
Nikkanen;1615
Saukko;1615
Kananen;1607
Santala;1606
Tossavainen;1604
Pekkanen;1602
Mäkilä;1600
Pyykkönen;1599
Välimaa;1599
Kalliomäki;1598
Setälä;1595
Koivumäki;1594
Myllylä;1593
Tuomaala;1593
Kivioja;1589
Ryhänen;1583
Kuitunen;1573
Lindeman;1564
Piispanen;1563
Ahtiainen;1560
Sundqvist;1559
Tuomela;1559
Lintunen;1552
Valtanen;1548
Tyni;1545
Ketonen;1543
Happonen;1542
Hovi;1531
Pietiläinen;1531
Hellsten;1526
Tuhkanen;1524
Siekkinen;1523
Siltanen;1519
Vesala;1511
Sivula;1507
Hakola;1506
Kataja;1499
Poutanen;1497
Nyyssönen;1496
Päivärinta;1493
Hakulinen;1491
Rämö;1491
Mohamed;1484
Toikka;1482
Haapalainen;1481
Hellman;1479
Kangasniemi;1477
Kuusinen;1476
Mäntynen;1473
Piipponen;1473
Peltomäki;1470
Pellinen;1468
Vänskä;1467
Turtiainen;1466
Kuivalainen;1463
Pettersson;1459
Wallenius;1458
Montonen;1456
Stenberg;1456
Salin;1453
Vaittinen;1453
Honkonen;1449
Mykkänen;1448
Piippo;1445
Torvinen;1444
Nguyen;1443
Jalkanen;1439
Valli;1439
Lindén;1436
Parkkonen;1435
Kuittinen;1431
Kuikka;1430
Räihä;1430
Talvitie;1430
Sandström;1427
Syrjänen;1425
Jäppinen;1424
Sippola;1420
Kärnä;1415
Sjöberg;1414
Grönholm;1412
Palosaari;1411
Hallikainen;1409
Herranen;1407
Soikkeli;1407
Utriainen;1407
Kuparinen;1406
Nikkilä;1404
Iivonen;1394
Nikkinen;1394
Lönnqvist;1392
Pursiainen;1391
Orava;1388
Jaakola;1387
Mähönen;1386
Hynynen;1384
Männikkö;1380
Ojanperä;1376
Raunio;1376
Puumalainen;1372
Suni;1368
Tuomola;1368
Ali;1366
Lamberg;1366
Pellikka;1366
Nordlund;1365
Pulli;1364
Rahkonen;1364
Annala;1358
Vuorenmaa;1357
Savela;1356
Katajamäki;1354
Putkonen;1353
Sairanen;1352
Vatanen;1352
Kekäläinen;1349
Peltomaa;1349
Niskala;1346
Reijonen;1346
Kakko;1343
Lappi;1343
Saikkonen;1341
Vehviläinen;1341
Salovaara;1339
Öhman;1338
Naukkarinen;1336
Numminen;1336
Kankkunen;1335
Viljakainen;1334
Juutilainen;1333
Pynnönen;1333
Hukkanen;1332
Kukkola;1332
Leivo;1331
Olkkonen;1331
Tynkkynen;1331
Kaunisto;1330
Kervinen;1330
Pohjonen;1330
Isotalo;1329
Kaukonen;1326
Manner;1325
Vauhkonen;1324
Sipola;1323
Sundberg;1323
Ervasti;1319
Heimonen;1317
Nordman;1314
Nissilä;1313
Väätäinen;1310
Jämsä;1308
Kurvinen;1308
Virkkunen;1306
Suokas;1303
Haikonen;1302
Huhta;1296
Oja;1294
Wallin;1294
Pihlajamäki;1291
Siltala;1288
Lähde;1286
Lintula;1284
Mäkeläinen;1284
Palmu;1280
Kaipainen;1279
Kohonen;1278
Mutanen;1277
Holma;1274
Pylkkänen;1274
Reponen;1274
Malmberg;1273
Roos;1273
Vainikka;1267
Vikman;1267
Poutiainen;1266
Vanhatalo;1263
Pihlaja;1262
Mannila;1261
Ovaskainen;1261
Päivinen;1261
Haanpää;1260
Kilpinen;1260
Huhtanen;1259
Hurskainen;1259
Säkkinen;1257
Ovaska;1255
Elomaa;1252
Kovalainen;1250
Kupiainen;1246
Blom;1245
Rouhiainen;1245
Lindell;1244
Jokelainen;1239
Perttula;1239
Murto;1236
Kuoppala;1235
Vainikainen;1235
Söderholm;1234
Haapakoski;1233
Kumpula;1231
Viinikainen;1230
Klemetti;1228
Suuronen;1228
Mielonen;1225
Raitanen;1224
Fagerström;1218
Kivi;1217
Kiviranta;1217
Tarkiainen;1217
Himanen;1215
Ek;1211
Pietarinen;1211
Hintikka;1210
Liikanen;1205
Ahmed;1204
Janhunen;1200
Tuononen;1200
Saarenpää;1198
Haapamäki;1197
Rekola;1197
Lundberg;1195
Ratilainen;1191
Ruokonen;1191
Bergström;1187
Leskelä;1186
Siivonen;1184
Veijalainen;1182
Parikka;1179
Rantamäki;1178
Marjamäki;1176
Gröhn;1175
Julkunen;1175
Sarkkinen;1175
Kirjavainen;1174
Sundell;1166
Laatikainen;1165
Rahikainen;1163
Ripatti;1163
Ström;1163
Granlund;1162
Nikander;1162
Kannisto;1161
Saario;1161
Jalava;1160
Varjonen;1156
Vesa;1155
Raappana;1153
Saarikoski;1152
Junnila;1151
Tanninen;1149
Palo;1146
Vänttinen;1145
Granholm;1144
Pentikäinen;1144
Hongisto;1139
Reunanen;1139
Kauranen;1137
Vaara;1137
Myllynen;1135
Ilomäki;1133
Peura;1133
Rautanen;1133
Juhola;1130
Paasonen;1130
Kemppi;1129
Kekki;1128
Westerholm;1128
Lyytinen;1127
Nisula;1127
Blomberg;1124
Kesti;1124
Häggblom;1123
Martin;1123
Loikkanen;1120
Äijälä;1120
Kunnari;1119
Okkonen;1119
Maijala;1116
Heinänen;1113
Sarajärvi;1113
Hulkkonen;1110
Majuri;1106
Oksa;1106
Ahlgren;1103
Lampela;1103
Jutila;1101
Niinimäki;1101
Lukkari;1093
Åberg;1092
Östman;1092
Åkerlund;1090
Forsberg;1088
Kolari;1085
Ristimäki;1085
Rosenberg;1085
Takkinen;1085
Vilén;1084
Sjöholm;1081
Katainen;1077
Lamminen;1077
Tölli;1077
Forss;1075
Kontkanen;1075
Kytölä;1073
Pollari;1072
Ropponen;1068
Tuppurainen;1067
Vornanen;1066
Korkiakoski;1064
Söderström;1063
Knuutila;1061
Lundström;1056
Heikura;1052
Roininen;1051
Bäckman;1048
Mäkipää;1048
Tissari;1047
Arvola;1046
Metso;1046
Hietamäki;1042
Ijäs;1041
Weckström;1041
Hedman;1040
Hirvelä;1038
Sorvari;1038
Tiitinen;1038
Kela;1037
Vikström;1036
Aronen;1035
Markkula;1035
Lempiäinen;1031
Uutela;1031
Österberg;1030
Kapanen;1024
Härmä;1022
Puurunen;1022
Korpinen;1019
Malm;1017
Kaasinen;1016
Kemppinen;1016
Nilsson;1016
Juutinen;1015
Yrjölä;1014
Olli;1012
Saloranta;1011
Similä;1010
Myllykoski;1005
Pärssinen;1004
Palm;1003
Ekström;1002
Björkman;1001
Strömberg;999
Kallinen;994
Katajisto;994
Järveläinen;993
Hujanen;992
Haarala;991
Nummi;991
Peltokangas;991
Rusanen;991
Rajaniemi;989
Porkka;988
Surakka;988
Tuukkanen;986
Roivainen;985
Lång;984
Suorsa;984
Uimonen;983
Luukkanen;981
Teittinen;978
Toikkanen;978
Pulliainen;977
Salomäki;975
Hildén;973
Höglund;971
Ylikoski;968
Sirkiä;966
Niva;965
Rahkola;965
Laitala;964
Syrjä;963
Rannikko;962
Purhonen;961
Loponen;957
Virkki;956
Ikävalko;954
Ilvonen;954
Österlund;953
Björk;952
Kajander;951
Törmä;951
Siira;950
Viljamaa;949
Koivukangas;948
Kuvaja;948
Könönen;948
Nordberg;946
Rönkä;946
Suonpää;946
Hintsala;945
Kasurinen;942
Mönkkönen;942
Siponen;940
Enqvist;939
Henttonen;937
Nokelainen;937
Karppanen;936
Kurkela;936
Hietikko;935
Kaasalainen;935
Palviainen;935
Kulju;933
Käyhkö;933
Dahl;932
Kallioniemi;931
Lindblom;931
Pusa;931
Terho;931
Kröger;930
Nummelin;929
Hellström;927
Koskelainen;927
Stenman;926
Backlund;924
Juuti;923
Asplund;921
Häyrinen;921
Romppainen;921
Toropainen;921
Metsälä;920
Oksman;917
Kaski;916
Kopra;916
Perkiö;916
Klemola;914
Liimatta;914
Palokangas;914
Pöntinen;914
Isomäki;913
Naumanen;905
Heikkonen;904
Knuuttila;904
Lievonen;904
Pöyry;903
Rouvinen;903
Malin;901
Granqvist;900
Mehtälä;900
Arponen;898
Back;897
Mantere;896
Parkkila;894
Puolakka;892
Vesanen;892
Toiviainen;890
Hassan;888
Pajula;888
Paldanius;888
Sandell;888
Haakana;887
Siren;885
Lund;884
Koskelo;883
Mäkynen;882
Lohi;881
Riekki;880
Ruokolainen;880
Kanniainen;878
Luokkanen;877
Ukkola;877
Norrgård;876
Isaksson;875
Pyykönen;874
Laasonen;873
Lahtela;873
Myllyniemi;873
Silander;873
Kankare;872
Miettunen;872
Jurvanen;871
Räikkönen;871
Luomala;869
Boman;868
Huovila;868
Isoaho;867
Tran;866
Smeds;863
Hyyryläinen;862
Pajari;862
Palola;862
Herrala;860
Halinen;858
Kotiranta;858
Suikkanen;858
Ahlqvist;857
Berglund;857
Vierimaa;857
Lahdenperä;856
Sironen;854
