NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Aalto-sali;Väinönkatu 7;40100;Jyväskylä;Jyväskylä;01.05.2018;Ennakkoon hyväksytty anniskelualue;0174708-5
Ahmoon työväentalo;Paunilantie 5;03620;Karkkila;Karkkila;01.12.2019;Ennakkoon hyväksytty anniskelualue;0931098-8
Ainolan juhla- ja kokoustila;Rytmikuja 8;40520;Jyväskylä;Jyväskylä;20.06.2019;Ennakkoon hyväksytty anniskelualue;0862146-9
Akatemian juhlasali;Rothoviuksenkatu 1;20500;Turku;Turku;20.01.2020;Ennakkoon hyväksytty anniskelualue;2389578-3
Alastaron Vehnämylly;Loimijoentie 35;32440;Alastaro;Loimaa;10.08.2020;Ennakkoon hyväksytty anniskelualue;N/A
Alastaron nuorisolava;Pakilantie 7;32440;Alastaro;Loimaa;01.06.2020;Ennakkoon hyväksytty anniskelualue;2386748-3
Aliinin tila;Aliinintie 228;52960;Nurmaa;Mäntyharju;24.05.2018;Ennakkoon hyväksytty anniskelualue;2607716-1
Allin Matala;Mallastie 4;90520;Oulu;Oulu;26.02.2019;Ennakkoon hyväksytty anniskelualue;2220990-5
Antinkatu 5;Antinkatu 5;28100;Pori;Pori;16.07.2019;Ennakkoon hyväksytty anniskelualue;0137323-9
Apteekin Juhlatila;Parolantie 37;13720;Parola;Hattula;09.04.2018;Ennakkoon hyväksytty anniskelualue;1842633-3
Auran Pirtti;Kirkkoahteentie 5;31300;Tammela;Tammela;04.10.2019;Ennakkoon hyväksytty anniskelualue;1009517-0
Aurlahden ranta;Rantapuisto;08100;Lohja;Lohja;22.06.2018;Ennakkoon hyväksytty anniskelualue;1068322-0
Auto Arita halli;Vanerikuja 3;04440;Järvenpää;Järvenpää;28.11.2019;Ennakkoon hyväksytty anniskelualue;1724309-2
Bazaar;Gerbyntie 16;65230;Vaasa;Vaasa;31.01.2020;Ennakkoon hyväksytty anniskelualue;2659078-2
Bergö Fiskehamn;Fiskehamnsvägen;66220;Bergö;Maalahti;30.07.2019;Ennakkoon hyväksytty anniskelualue;N/A
Bladhska Gården;Chneiffs stig 1;64260;Kaskinen;Kaskinen;19.07.2019;Ennakkoon hyväksytty anniskelualue;0208787-5
Boatman;Mustikkamaantie 2;00570;Helsinki;Helsinki;14.09.2018;Ennakkoon hyväksytty anniskelualue;2097724-9
Bock´s Pub;Gerbyntie 16;65230;Vaasa;Vaasa;20.09.2019;Ennakkoon hyväksytty anniskelualue;1825445-5
Brankkis;Nycandergatan 8;10900;Hanko;Hanko;15.05.2019;Ennakkoon hyväksytty anniskelualue;1909056-0
Carpella Strandlid;Karperövägen 538;65630;Karperö;Mustasaari;23.07.2019;Ennakkoon hyväksytty anniskelualue;0181099-6
Casinopuisto ja ranta;Appelgrenintie 18;10900;Hanko;Hanko;31.05.2019;Ennakkoon hyväksytty anniskelualue;0103166-9
Cinema Orion;Eerikinkatu 15;00100;Helsinki;Helsinki;07.11.2019;Ennakkoon hyväksytty anniskelualue;2806976-3
Circus;Tykistökatu 4;20520;Turku;Turku;18.08.2020;Ennakkoon hyväksytty anniskelualue;2349955-3
Cisa Drinks Kokoustila;Kavallinmäki 15 A;02710;Espoo;Espoo;01.02.2019;Ennakkoon hyväksytty anniskelualue;1825485-0
Classic Wine Cellars;Eteläesplanadi 20;00130;Helsinki;Helsinki;04.12.2019;Ennakkoon hyväksytty anniskelualue;2021272-1
Danske Bank A/S, Suomen sivuliike;Kasarmikatu 21 B, 2.krs;00180;Helsinki;Helsinki;30.10.2018;Ennakkoon hyväksytty anniskelualue;1078693-2
Data Center Park Helsinki;Huurrekuja 10;04360;Tuusula;Tuusula;20.08.2018;Ennakkoon hyväksytty anniskelualue;2720758-9
Datsa;Kammintie 21;93830;Rukatunturi;Kuusamo;16.07.2020;Ennakkoon hyväksytty anniskelualue;2150623-8
EduCity;Joukahaisenkatu 7;20520;Turku;Turku;01.08.2020;Ennakkoon hyväksytty anniskelualue;2528160-3
Eino Leinon puistoalue;Eino Leinontie 1;88300;Paltamo;Paltamo;16.07.2018;Ennakkoon hyväksytty anniskelualue;0188808-0
Elonkierto Makasiinikahvio;Ojaistentie 44;31600;Jokioinen;Jokioinen;19.07.2018;Ennakkoon hyväksytty anniskelualue;0244629-2
Etappi 22;Satamakatu 22;26100;Rauma;Rauma;08.05.2018;Ennakkoon hyväksytty anniskelualue;1896229-1
Eurajoen Pub piha-alue;Kirkkotie 14;27100;Eurajoki;Eurajoki;24.07.2020;Ennakkoon hyväksytty anniskelualue;3015687-4
Factory Salmisaari;Salmisaarenaukio 1;00180;Helsinki;Helsinki;15.03.2020;Ennakkoon hyväksytty anniskelualue;0953838-4
Factory-halli;Tohlopinranta 31;33270;Tampere;Tampere;11.10.2019;Ennakkoon hyväksytty anniskelualue;2238644-2
Fagerö Folkpark;Fagerövägen;64550;Rangsby;Närpiö;20.06.2018;Ennakkoon hyväksytty anniskelualue;0855409-1
Fanny-talo / Vaasan kaupunki;Kirkkopuistikko 34;65100;Vaasa;Vaasa;14.06.2019;Ennakkoon hyväksytty anniskelualue;0155602-7
Finsilva Oyj:n matkailureitti;Laavut GPS-koordinaateissa ;35800;Mänttä;Mänttä-vilppula;01.10.2018;Ennakkoon hyväksytty anniskelualue;1943058-8
Folkparken;Klinkokuja;10940;Hangonkylä;Hanko;16.07.2019;Ennakkoon hyväksytty anniskelualue;0103166-9
Forssan työväentalo;kauppakatu 17;30100;Forssa;Forssa;03.09.2018;Ennakkoon hyväksytty anniskelualue;0145644-8
Fortum Recyclin and waste solutions;Kuulojankatu 1;11120;Riihimäki;Riihimäki;09.12.2019;Ennakkoon hyväksytty anniskelualue;0350017-4
Furuvikin Kartano;Malmnäsintie 4;21600;Parainen;PARAINEN;27.03.2019;Ennakkoon hyväksytty anniskelualue;2807682-4
G18;Yrjönkatu 18;00120;Helsinki;Helsinki;11.06.2018;Ennakkoon hyväksytty anniskelualue;0200129-3
Gerby-Vestervikdagen;Strömsövägen;65280;Vaasa;Vaasa;12.07.2018;Ennakkoon hyväksytty anniskelualue;1093174-9
Gjallarhorn;Korpoströmsvägen 407;21710;Korppoo;PARAINEN;09.06.2018;Ennakkoon hyväksytty anniskelualue;0298733-9
Greenfield Camping;Tammapolku;62300;Härmä;Kauhava;13.08.2020;Ennakkoon hyväksytty anniskelualue;1015405-4
Gumnäsin juhlapaikka;Gumnäsintie 71;10420;Pohjankuru;Raasepori;01.03.2019;Ennakkoon hyväksytty anniskelualue;2535125-3
HOVI;Sukkavartaankatu 9;33100;Tampere;Tampere;01.05.2019;Ennakkoon hyväksytty anniskelualue;0649082-1
HSK;Vattuniemen puistotie 1;00210;Helsinki;Helsinki;11.09.2018;Ennakkoon hyväksytty anniskelualue;0116472-8
Haagan Valopiha;Nuijamiestentie 10;00320;Helsinki;Helsinki;01.02.2019;Ennakkoon hyväksytty anniskelualue;2029188-8
Haapajärven Kasino;Kalakankaantie 230;85800;Haapajärvi;Haapajärvi;19.06.2018;Ennakkoon hyväksytty anniskelualue;0226636-3
Haapajärven tori;Ståhlberginkatu 1;85800;Haapajärvi;Haapajärvi;10.04.2019;Ennakkoon hyväksytty anniskelualue;0209756-3
