NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
 Bar Pahka;Pahkakatu 4;48770;Kotka;Kotka;03.03.2020;Anniskelu A, kaikki alkoholijuomat;1552517-6
 Cafe Mirjam, Kahvila Puistonkulma;Isoympyränkatu17;49400;Hamina;Hamina;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
 Hakapirtti;Teollisuuskatu 20;49400;Hamina;Hamina;01.09.2019;Anniskelu A, kaikki alkoholijuomat;N/A
 K-market Seppäläntie;Seppäläntie 19;7900;Loviisa;Loviisa;29.07.2018;Vähittäismyyntilupa/max. 5.5 %;2480964-8
 Lucky Palace;Porttisuontie 4;1200;Vantaa;Vantaa;01.04.2018;Anniskelu A, kaikki alkoholijuomat;2638947-2
 Public Corner ja;Kauppakatu 5;48100;Kotka;Kotka;01.01.2013;Anniskelu A, kaikki alkoholijuomat;2467766-5
 Ravintola Mulligan`s;Kouvolankatu 11;45100;Kouvola;Kouvola;01.08.2020;Anniskelu A, kaikki alkoholijuomat;2288056-3
 Better We Do It  Slow Food;Kirkkotie 6;21420;Lieto;Lieto;25.04.2018;Anniskelu A, kaikki alkoholijuomat;1704082-6
 Bodegan  Käringsunds Gästhamn;, Gamla Käringsundsvägen;22270;Eckerö;Eckerö;24.04.2013;Anniskelu B, miedot alkoholijuomat/max 22%;2535639-6
 Kauppala ;Hollikankaantie 149 A 3;42910;Pihlajavesi;Keuruu;30.04.2013;Vähittäismyyntilupa/max. 5.5 %;2520002-5
 Kea-Market ;Söderby 50;22610;Lemland;Lemland;01.08.1969;Vähittäismyyntilupa/max. 5.5 %;0205037-8
(Korson Pizzapalvelu) Sero;Korsontie 5;1450;Vantaa;Vantaa;18.06.2020;Anniskelu A, kaikki alkoholijuomat;3119386-1
10-Kerho;Asemakatu 10;84100;Ylivieska;Ylivieska;28.05.2009;Anniskelu A, kaikki alkoholijuomat;2264928-1
158 Kiinalainen ravintola;Viilarinkatu 3;20320;Turku;Turku;05.11.2018;Anniskelu A, kaikki alkoholijuomat;2912106-8
1H+Keittiö, Ett rum och kök;Hovrättsesplanaden 13 A;65100;Vaasa;Vaasa;15.12.2011;Anniskelu A, kaikki alkoholijuomat;2439278-2
1bar;Kauppurienkatu 5;90100;Oulu;Oulu;25.01.2008;Anniskelu A, kaikki alkoholijuomat;2165210-4
247 Tavaratalot;Salpakuja 2;1200;Vantaa;Vantaa;15.05.2019;Vähittäismyyntilupa/max. 5.5 %;2949687-1
2H+K Baari & Keittiö;Aleksanterinkatu 33;33100;Tampere;Tampere;30.01.2004;Anniskelu A, kaikki alkoholijuomat;1862172-9
2Puuta Bistro & Bar;Kauppalankatu 2;5800;Hyvinkää;Hyvinkää;02.04.2020;Ann.lupa sis. vähittäismyynnin;2906070-1
3-0 Sportbar;Sarvastonkaari 23;840;Helsinki;Helsinki;27.04.2019;Määräaikainen A, kaikki alkoholijuomat;2876270-1
3-0 Sportbar Burger etc.;Yliskylän puistokatu 4;840;Helsinki;Helsinki;22.11.2018;Anniskelu A, kaikki alkoholijuomat;2876270-1
32 Rock Bar;Mäkelänkatu 32;510;Helsinki;Helsinki;01.09.2019;Anniskelu A, kaikki alkoholijuomat;2976401-2
45 Special;Saaristonkatu 12;90100;Oulu;Oulu;01.02.2002;Anniskelu A, kaikki alkoholijuomat;0186991-2
4Catering Oy;Pyynikintie 25 y 14;33230;Tampere;Tampere;02.07.2018;Anniskelulupa ilman toimipaikkaa;2478706-3
4Chiefs;Leppävaarankatu 3-9;2600;Espoo;Espoo;31.07.2020;Anniskelu A, kaikki alkoholijuomat;3132285-4
4Vuodenaikaa Aleksanterinpuisto;Puutarhakatu 32;33230;Tampere;Tampere;10.08.2020;Anniskelu A, kaikki alkoholijuomat;3147106-7
5-Tien Leirintäalueen Kioski;Kajaanintie 1409;74340;Sukeva;Sonkajärvi;01.06.1999;Vähittäismyyntilupa/max. 5.5 %;1054173-2
50/50 Bistro & Puoti;Kakskerrantie 679;20960;Turku;Turku;12.06.2020;Anniskelu A, kaikki alkoholijuomat;2929738-9
50/50 Bistro & Puoti;Kakskerrantie 679;20960;Turku;Turku;12.06.2020;Vähittäismyyntilupa/max. 5.5 %;2929738-9
60s Palaver;Kauppakatu 22;80100;Joensuu;Joensuu;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2596525-5
6K food markets;Urho Kekkosen katu 1 E-taso;100;Helsinki;Helsinki;10.06.2016;Anniskelu A, kaikki alkoholijuomat;2708212-2
8-Bit Brewing Save Point;Hankasuontie 4;390;Helsinki;Helsinki;03.09.2018;Käsityöläisoluen vähittäismyynti/max 12.0%;2769923-7
8-Bit Save Point Terrace;Hankasuontie 4;390;Helsinki;Helsinki;01.07.2020;Anniskelu A, kaikki alkoholijuomat;2769923-7
8Baari;Ylioppilaankatu 6-8;33720;Tampere;Tampere;01.01.2016;Anniskelu A, kaikki alkoholijuomat;N/A
96 aste;Kauppakatu 26;87100;Kajaani;Kajaani;12.04.2003;Anniskelu A, kaikki alkoholijuomat;1733494-7
9PIRTTI;Ysitie 1086;77630;Lempyy;Suonenjoki;03.04.2020;Ann.lupa sis. vähittäismyynnin;N/A
@EVA;Kauppiaskatu 4;21600;Parainen;PARAINEN;01.07.2019;Anniskelu A, kaikki alkoholijuomat;1802985-6
A Nissinen Ky;Hämeenlampi;74230;Salahmi;Vieremä;06.11.1990;Vähittäismyyntilupa/max. 5.5 %;0283868-3
A.O. Vuorinen Oy / Kauppahalli-;Torikatu 3;15110;Lahti;Lahti;13.06.1995;Vähittäismyyntilupa/max. 5.5 %;0149578-9
AA HAN THAI;Mechelininkatu 17;100;Helsinki;Helsinki;11.12.2012;Anniskelu A, kaikki alkoholijuomat;2489834-5
AAKOO Pub;Kiekkokuja 1;46900;Inkeroinen;Kouvola;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0906820-4
AAVA Lapland;Vaeltajantie 2;95980;Ylläsjärvi;Kolari;17.07.2020;Anniskelu A, kaikki alkoholijuomat;2382038-6
AB Oneils Kitchen Oy;Simhallsvägen 1;64230;Närpiö As;Närpiö;13.11.2018;Anniskelu A, kaikki alkoholijuomat;2814218-2
ABB;Valimopolku 4;380;Helsinki;Helsinki;18.03.2005;Anniskelu A, kaikki alkoholijuomat;0873697-9
ABC  Majakka;Pyhtääntie 38-40;49270;Pyhtää;Pyhtää;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2467766-5
