Y-TUNNUS;NIMI;LUVANALKUPVM;OLUT;VIINI;HEDELMAVIINI;TISLATUT ALKOHOLIJUOMAT;VÄKIVIINA
2467096-5;Monditaly Wines and Spirits Oy;29.11.2012;X;X;X;X;
0713258-3;Restile Oy;06.04.2018;X;X;X;X;
2126295-8;Domaine Wines Finland Oy;01.10.2007;X;X;X;X;
N/A;Tmi Shiristi;01.09.2007;X;;;X;
2057429-8;Transmontani Oy;01.09.2007;X;X;X;X;
2374404-5;Just Drinks Oy;11.01.2013;X;X;X;X;
0870232-2;Oy Axel Liljefors Ab Ltd;10.02.1995;X;X;X;X;
0924829-9;Ultimator Oy;01.03.1995;X;X;X;X;
0633649-6;E. Gavrielides Oy;14.03.1995;X;X;X;X;
0851013-6;Kauppahuone Salmenkylä Oy;10.03.1995;X;X;X;X;
0954135-6;Tiblaca Oy;24.03.1995;X;X;X;X;
0992054-0;Zandora Oy;11.04.1995;X;X;X;X;
0141731-8;Ab ME Group Oy Ltd;12.05.1995;X;X;X;X;
0107011-5;Berner Oy;28.07.1995;X;X;X;X;X
1011593-6;Tampereen Viinitukku Oy;21.08.1995;X;X;X;X;
0954463-7;Norex Selected Brands Oy;01.09.1995;X;X;X;X;
0145110-2;Mathias Eriksson Ab;31.01.1996;X;X;X;X;
1018406-9;AB Spanvinavia SA;31.01.1996;X;X;X;X;
0688336-9;Laivanmuonitusliike Ivar Ek Ky;13.02.1996;X;X;X;X;
0108876-1;Edrington Finland Oy;13.02.1996;X;X;X;X;
1056551-5;Kimmo Lehtonen Oy;19.06.1996;X;X;X;;
1039718-7;Bond Business Oy;26.08.1996;X;X;X;X;
0112282-7;Oriola Finland Oy;17.09.1996;;;;;X
1063401-5;Vino Fino Finland Oy;18.11.1996;X;X;X;X;
1505555-7;Altia Oyj;01.05.2002;X;X;X;X;X
2177881-5;Oy Concept Wines Ab;20.03.2008;X;X;X;X;
1791513-5;Social Wines Oy;28.03.2008;X;X;X;X;
2449772-8;BarBäk Imports Oy;10.08.2012;X;X;X;X;
0614918-0;VWR International Oy;19.02.2008;;;;;X
1928426-9;Tokmanni Oy;16.05.2008;X;X;X;;
1942989-4;Cisa Finland Oy;01.08.2007;;X;;X;
1526323-3;Cisa Oy;01.08.2007;;X;;X;
2842670-8;Tolt Traders Oy;14.02.2019;X;X;X;X;
0144893-1;W.J Dahlman Ab;01.01.2019;X;X;X;X;
3104296-7;Finavek Oy;31.01.2020;X;X;X;X;
2663060-9;Paradise City Beverages Co. Oy;30.06.2020;X;X;X;X;
2298487-2;Nordalco Oy;01.01.2010;X;X;X;X;
2293449-6;Capstock Oy;23.12.2009;X;X;X;X;
2893659-9;Blend Maker Oy;09.05.2018;X;X;X;X;
0830158-8;Gazebo Oy;05.03.2008;X;X;X;X;
2108356-2;Viiniheila Oy;05.03.2008;X;X;X;X;
2557856-2;Wihuri Oy;01.01.2014;X;X;X;X;
0105700-9;Oy Conaxess Trade Finland Ab;25.01.2008;X;X;X;X;
2080750-6;Heinon Tukku Oy;01.01.2008;X;X;X;X;
0635284-0;Barons Food Oy;09.03.2020;X;X;X;X;
2941270-3;Vinic Oy;09.07.2019;X;X;X;X;
2584167-4;Brown-Forman Finland Oy;01.02.2014;;X;X;X;
2903128-1;Winebridge Oy;03.09.2019;X;X;X;X;
2441910-5;Oy Papua Suklaa Ab;03.09.2019;X;X;X;X;
0108023-3;Finnair Oyj;02.03.1995;X;X;X;X;
0170318-9;Olvi Oyj;17.02.1995;X;X;X;X;
0113951-4;Oy Sinebrychoff Ab;17.02.1995;X;X;X;X;
