Etunimi;Lukumäärä
Juhani;285 594
Olavi;142 900
Antero;138 080
Tapani;136 173
Johannes;134 544
Tapio;115 625
Mikael;104 244
Kalevi;95 004
Matti;80 193
Pekka;78 536
Petteri;73 479
Ilmari;70 419
Sakari;64 782
Matias;64 134
Antti;55 745
Juha;54 013
Kristian;53 399
Heikki;51 658
Timo;48 905
Mikko;45 270
Kari;44 752
Markus;43 405
Jari;40 498
Aleksi;40 144
Jukka;40 068
Markku;38 671
Kalervo;38 155
Jaakko;38 019
Oskari;37 495
Petri;36 899
Mika;36 502
Henrik;35 661
Lauri;35 272
Veikko;34 248
Hannu;33 991
Ville;33 257
Erkki;33 227
Seppo;32 654
Valtteri;30 544
Janne;29 972
Ari;29 758
Marko;29 595
Ensio;29 497
Tuomas;28 151
Sami;27 738
Pentti;27 269
Juho;26 718
Elias;26 262
Eero;25 482
Erik;25 052
Martti;24 615
Jani;24 103
Samuli;23 498
Eemeli;23 295
Onni;23 096
Jorma;22 888
Jussi;22 404
Harri;21 995
Teemu;21 746
Risto;21 155
Eino;20 732
Jarmo;20 259
Veli;20 208
Samuel;20 078
Raimo;20 009
Esa;19 770
Pertti;19 534
Pasi;19 228
Jouni;19 033
Arto;18 753
Niko;18 561
Esko;18 523
Olli;18 341
Viljami;18 256
Joonas;18 210
Vesa;18 144
Kalle;17 981
Jouko;17 750
Toni;17 563
Toivo;17 519
Emil;17 519
Reijo;17 383
Paavo;17 186
Oliver;16 920
Leo;16 867
Armas;16 795
Johan;16 598
Santeri;16 540
Tomi;16 097
Kimmo;16 059
Henri;15 573
Väinö;15 514
Joni;15 343
Eetu;15 263
Tommi;15 036
Tero;14 953
Daniel;14 899
Ilkka;14 345
Sebastian;14 298
Alexander;14 164
Otto;14 082
Pauli;13 984
Ilari;13 698
Eemil;13 366
Anton;13 310
Aleksanteri;12 984
Uolevi;12 798
Tuomo;12 602
Jarkko;12 526
Jalmari;12 410
Jesse;12 333
Joona;12 188
Aulis;12 043
Akseli;11 660
Benjamin;11 139
Vilho;10 959
Arttu;10 906
Jere;10 798
Julius;10 729
Juuso;10 665
Simo;10 623
Joel;10 599
Allan;10 483
Christian;10 356
Einari;10 344
Niilo;10 278
Leevi;10 233
Lasse;10 138
Kullervo;10 031
Keijo;10 026
Niklas;9 980
Jyrki;9 868
Aukusti;9 674
Reino;9 581
Jan;9 557
Mauri;9 483
Kaarlo;9 407
Elmeri;9 320
Kauko;9 316
Kai;9 100
Artturi;8 910
Aarne;8 896
Aki;8 851
Juhana;8 845
Miika;8 775
Rasmus;8 623
Riku;8 549
Veeti;8 435
Karl;8 293
Yrjö;8 249
Topias;8 225
Hermanni;8 099
Peter;8 091
Aatos;7 945
Jarno;7 925
Joonatan;7 736
Eerik;7 733
Aaro;7 687
Tauno;7 533
Rauno;7 513
Teuvo;7 464
Ossi;7 339
Vilhelm;7 337
Patrik;7 208
Robert;7 157
Viljo;7 121
Arvo;7 025
Valdemar;6 912
Roope;6 882
Anssi;6 861
Eelis;6 821
Ismo;6 813
Veijo;6 776
Osmo;6 774
Taisto;6 728
Rainer;6 682
Atte;6 680
Anders;6 644
Henry;6 629
Aaron;6 600
Aapo;6 402
Miro;6 344
Asko;6 217
Kasper;6 160
Aimo;6 122
Taneli;6 102
Samu;6 075
Henrikki;6 064
Oskar;5 975
Oiva;5 945
Alex;5 810
Lassi;5 799
Edvard;5 784
Verneri;5 781
Tuukka;5 689
Iisakki;5 678
Kim;5 551
Ahti;5 475
Rafael;5 455
Andreas;5 436
Aarre;5 388
Mauno;5 386
Kasperi;5 352
Vihtori;5 334
Vili;5 311
Topi;5 305
August;5 302
Lars;5 267
Wilhelm;5 243
Urho;5 178
Aatu;5 164
Kustaa;5 162
Albert;5 119
Konsta;5 090
Miikka;5 035
Fredrik;5 035
Jimi;5 013
Eeli;4 992
Tarmo;4 926
Sulo;4 915
Max;4 873
Alvar;4 871
Nikolai;4 816
Roni;4 802
Joakim;4 785
Alpo;4 743
Tatu;4 663
Veikka;4 636
Hugo;4 634
Herman;4 633
William;4 588
Michael;4 580
Ilpo;4 523
Iivari;4 512
Unto;4 509
Jyri;4 486
Sauli;4 474
Carl;4 449
Saku;4 369
Gustav;4 334
Severi;4 320
Kaj;4 287
Tom;4 266
Kyösti;4 239
Gunnar;4 153
Otso;4 085
Rikhard;4 026
Veli-Matti;4 019
Lenni;3 984
Iiro;3 890
Thomas;3 859
Pyry;3 832
Martin;3 828
John;3 812
Frans;3 779
Hans;3 776
Axel;3 772
Heimo;3 739
Rami;3 691
Jonne;3 673
Voitto;3 662
Pietari;3 635
Gabriel;3 632
Jeremias;3 632
Oscar;3 628
Viktor;3 621
Miska;3 593
Noel;3 551
Arvi;3 524
Hannes;3 514
Sampo;3 463
Luka;3 434
Pellervo;3 423
Jami;3 399
Paul;3 379
Juha-Pekka;3 331
Olof;3 327
Stefan;3 272
Harry;3 265
Luukas;3 256
Edvin;3 247
Teppo;3 244
Aku;3 224
Nooa;3 218
Nico;3 218
Leif;3 204
Göran;3 173
Aleksander;3 125
Nils;3 109
Jasper;3 057
Miko;3 052
Jukka-Pekka;3 039
Tomas;2 990
Tony;2 972
Perttu;2 929
Arvid;2 913
Anselmi;2 904
Lucas;2 894
Robin;2 891
Päiviö;2 856
Alfred;2 854
Eliel;2 841
Santtu;2 837
Aarni;2 802
Jonas;2 770
Paavali;2 746
Veli-Pekka;2 733
Aarno;2 728
Nestori;2 727
Ali;2 722
Richard;2 711
Krister;2 705
Nuutti;2 693
Sisu;2 608
Peetu;2 594
Lukas;2 587
Eljas;2 579
Untamo;2 579
Christer;2 542
Panu;2 536
Mohamed;2 529
Eevert;2 515
Magnus;2 488
Jonathan;2 482
Marcus;2 479
Mathias;2 477
Klaus;2 466
Viljam;2 454
Patrick;2 450
Eerikki;2 435
Terho;2 432
Waltteri;2 419
Jesper;2 417
Urpo;2 416
Lennart;2 401
Sven;2 389
Juha-Matti;2 338
Aapeli;2 318
Olli-Pekka;2 283
Kenneth;2 278
Ukko;2 254
Kaapo;2 247
Ossian;2 235
Mattias;2 223
Justus;2 212
Bengt;2 205
Kaleva;2 198
Evert;2 191
Reima;2 156
Tino;2 130
Alarik;2 122
Stig;2 116
Teijo;2 103
Antton;2 088
Mats;2 061
Felix;2 059
Luca;2 028
Rolf;2 012
David;1 994
Einar;1 992
Lari;1 983
Tobias;1 982
Eric;1 980
Jooa;1 975
Elmo;1 941
Taavi;1 940
Petter;1 918
Tommy;1 917
Anttoni;1 914
Manu;1 904
Asser;1 874
Kurt;1 853
Eemi;1 841
Leonard;1 835
Taavetti;1 828
Per;1 821
Aleksis;1 798
Karri;1 793
Håkan;1 779
Adam;1 750
Verner;1 731
Simon;1 722
Tenho;1 720
Ari-Pekka;1 720
Valter;1 709
Ahmed;1 706
Erno;1 699
Björn;1 695
Roger;1 691
Touko;1 679
Bo;1 672
Gustaf;1 662
Milo;1 659
Jonatan;1 658
Valentin;1 640
Åke;1 636
Ralf;1 629
Vertti;1 625
Jori;1 621
Jalo;1 617
Kaarle;1 615
Helge;1 605
Nikolas;1 598
Jerry;1 598
Victor;1 594
Kimi;1 570
Casper;1 547
Aslak;1 537
Edward;1 517
Sulevi;1 512
Christoffer;1 505
Kosti;1 500
Heino;1 497
Dan;1 489
Albin;1 475
Timi;1 456
Tuure;1 453
Elis;1 451
