SYNTYMÄVUOSI;SYNTKOTIKUNTA;KUNNAN NIMI;SUKUPUOLI;ETUNIMI;KPL
1969;49;Espoo;1;Mika;39
1969;61;Forssa;1;Marko;11
1969;91;Helsinki;1;Mika;256
1969;92;Vantaa;1;Mika;47
1969;106;Hyvinkää;1;Mika;16
1969;109;Hämeenlinna;1;Mika;18
1969;153;Imatra;1;Mika;19
1969;167;Joensuu;1;Mika;33
1969;179;Jyväskylä;1;Mika;43
1969;180;Jyväskylän mlk;1;Mika;13
1969;186;Järvenpää;1;Petri;16
1969;200;Ulkomaat;1;Igor;85
1969;201;Karhula;1;Mika;17
1969;205;Kajaani;1;Timo;16
1969;214;Kankaanpää;1;Mika;16
1969;232;Kauhajoki;1;Mika;16
1969;240;Kemi;1;Marko;18
1969;263;Kiuruvesi;1;Marko;13
1969;272;Kokkola;1;Marko;17
1969;272;Kokkola;1;Mika;17
1969;285;Kotka;1;Marko;19
1969;286;Kouvola;1;Mika;17
1969;290;Kuhmo;1;Jari;15
1969;297;Kuopio;1;Mika;39
1969;301;Kurikka;1;Mika;14
1969;305;Kuusamo;1;Mika;14
1969;306;Kuusankoski;1;Mika;12
1969;398;Lahti;1;Mika;74
1969;405;Lappeenranta;1;Mika;30
1969;427;Lohja;1;Mika;10
1969;428;Lohjan kunta;1;Mika;14
1969;491;Mikkeli;1;Marko;20
1969;536;Nokia;1;Mika;11
1969;543;Nurmijärvi;1;Mika;12
1969;564;Oulu;1;Mika;74
1969;609;Pori;1;Marko;56
1969;684;Rauma;1;Marko;17
1969;694;Riihimäki;1;Marko;12
1969;694;Riihimäki;1;Timo;12
1969;698;Rovaniemi;1;Mika;26
1969;699;Rovaniemen mlk;1;Mika;15
1969;734;Salo;1;Mika;13
1969;740;Savonlinna;1;Mika;20
1969;743;Seinäjoki;1;Jari;14
1969;754;Anjalankoski;1;Mika;12
1969;837;Tampere;1;Mika;94
1969;851;Tornio;1;Mika;11
1969;853;Turku;1;Mika;70
1969;858;Tuusula;1;Marko;15
1969;905;Vaasa;1;Marko;22
1969;908;Valkeakoski;1;Marko;13
1969;915;Varkaus;1;Mika;16
1970;49;Espoo;1;Petri;33
1970;61;Forssa;1;Janne;13
1970;61;Forssa;1;Marko;13
1970;91;Helsinki;1;Mika;229
1970;92;Vantaa;1;Mika;46
1970;106;Hyvinkää;1;Marko;26
